index,State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,ALE,Min_ALE,Max_ALE,US_ALE,All_Death,Min_All_Death,Max_All_Death,US_All_Death,CI_Min_All_Death,CI_Max_All_Death,Health_Status,Min_Health_Status,Max_Health_Status,US_Health_Status,CI_Min_Health_Status,CI_Max_Health_Status,Unhealthy_Days,Min_Unhealthy_Days,Max_Unhealthy_Days,US_Unhealthy_Days,CI_Min_Unhealthy_Days,CI_Max_Unhealthy_Days
2718,48,395,Robertson,Texas,TX,75,74.0,72.1,76.4,76.5,991.5,908.9,1153.6,898.6,947.6,1035.3,-1111.1,18.5,33.0,17.1,-1111.1,-1111.1,-1111.1,4.2,9.4,6,-1111.1,-1111.1
2719,48,397,Rockwall,Texas,TX,48,77.5,76.4,78.5,76.5,900.3,765.5,905.0,898.6,853.9,946.8,9.2,8.3,18.7,17.1,0.4,18.0,6.3,3.9,6.8,6,3.4,9.1
2720,48,399,Runnels,Texas,TX,43,76.0,74.8,77.6,76.5,866.4,823.7,1017.6,898.6,821.1,911.8,-1111.1,14.8,31.2,17.1,-1111.1,-1111.1,-1111.1,4.8,8.4,6,-1111.1,-1111.1
2721,48,401,Rusk,Texas,TX,34,75.2,74.4,77.2,76.5,952.4,839.5,1014.7,898.6,916.3,988.6,26.4,14.9,26.6,17.1,17.0,35.8,4.9,5.5,8.0,6,2.9,6.9
2722,48,403,Sabine,Texas,TX,62,73.1,74.1,77.0,76.5,1022.0,843.8,1037.1,898.6,969.8,1074.1,-1111.1,14.4,33.1,17.1,-1111.1,-1111.1,-1111.1,4.2,7.9,6,-1111.1,-1111.1
2723,48,405,San Augustine,Texas,TX,70,75.2,73.3,77.0,76.5,974.7,914.4,1058.1,898.6,918.7,1030.8,-1111.1,17.6,32.4,17.1,-1111.1,-1111.1,-1111.1,5.0,9.0,6,-1111.1,-1111.1
2724,48,407,San Jacinto,Texas,TX,72,75.2,73.6,75.2,76.5,865.7,953.7,1095.1,898.6,827.0,904.4,-1111.1,18.2,34.9,17.1,-1111.1,-1111.1,-1111.1,6.1,9.6,6,-1111.1,-1111.1
2725,48,409,San Patricio,Texas,TX,8,75.5,72.2,75.6,76.5,970.0,911.7,1136.1,898.6,932.9,1007.1,18.4,16.5,29.4,17.1,10.5,26.3,6.2,5.5,8.7,6,4.1,8.3
2726,48,411,San Saba,Texas,TX,87,77.8,75.4,77.5,76.5,792.2,745.0,995.9,898.6,734.3,850.0,-1111.1,9.9,33.3,17.1,-1111.1,-1111.1,-1111.1,2.7,10.2,6,-1111.1,-1111.1
2727,48,413,Schleicher,Texas,TX,85,76.9,75.2,78.4,76.5,830.8,704.3,993.5,898.6,738.1,923.6,-1111.1,8.5,24.5,17.1,-1111.1,-1111.1,-1111.1,3.1,7.8,6,-1111.1,-1111.1
